x	y	habitat
780	320	hi_plateau
780	340	hi_plateau
780	360	hi_plateau
780	380	hi_plateau
780	400	hi_plateau
780	420	hi_plateau
780	440	hi_plateau
780	460	hi_plateau
780	480	hi_plateau
800	0	slope
800	20	slope
800	40	slope
800	60	slope
800	80	slope
800	100	slope
800	120	slope
800	140	slope
800	160	slope
800	180	slope
800	200	slope
800	220	slope
800	240	slope
800	260	slope
800	280	hi_plateau
800	300	hi_plateau
800	320	hi_plateau
800	340	hi_plateau
800	360	hi_plateau
800	380	hi_plateau
800	400	hi_plateau
800	420	hi_plateau
800	440	slope
800	460	slope
800	480	slope
820	0	slope
820	20	slope
820	40	slope
820	60	slope
820	80	slope
820	100	slope
820	120	slope
820	140	slope
820	160	slope
820	180	slope
820	200	slope
820	220	slope
820	240	slope
820	260	slope
820	280	slope
820	300	slope
820	320	slope
820	340	mixed
820	360	mixed
820	380	hi_plateau
820	400	hi_plateau
820	420	slope
820	440	slope
820	460	slope
820	480	slope
840	0	low_plateau
840	20	slope
840	40	slope
840	60	slope
840	80	slope
840	100	slope
840	120	slope
840	140	slope
840	160	slope
840	180	slope
840	200	slope
840	220	slope
840	240	slope
840	260	slope
840	280	slope
840	300	slope
840	320	slope
840	340	slope
840	360	mixed
840	380	mixed
840	400	slope
840	420	slope
840	440	slope
840	460	slope
840	480	slope
860	0	low_plateau
860	20	low_plateau
860	40	low_plateau
860	60	slope
860	80	slope
860	100	slope
860	120	slope
860	140	slope
860	160	slope
860	180	slope
860	200	slope
860	220	slope
860	240	slope
860	260	slope
860	280	slope
860	300	slope
860	320	slope
860	340	slope
860	360	slope
860	380	slope
860	400	slope
860	420	slope
860	440	slope
860	460	low_plateau
860	480	slope
880	0	slope
880	20	slope
880	40	low_plateau
880	60	low_plateau
880	80	low_plateau
880	100	low_plateau
880	120	low_plateau
880	140	slope
880	160	slope
880	180	slope
880	200	slope
880	220	slope
880	240	slope
880	260	slope
880	280	slope
880	300	slope
880	320	slope
880	340	slope
880	360	slope
880	380	slope
880	400	slope
880	420	slope
880	440	stream
880	460	slope
880	480	slope
900	0	low_plateau
900	20	low_plateau
900	40	low_plateau
900	60	low_plateau
900	80	low_plateau
900	100	low_plateau
900	120	low_plateau
900	140	low_plateau
900	160	low_plateau
900	180	low_plateau
900	200	slope
900	220	slope
900	240	slope
900	260	slope
900	280	slope
900	300	slope
900	320	slope
900	340	low_plateau
900	360	low_plateau
900	380	low_plateau
900	400	low_plateau
900	420	slope
900	440	stream
900	460	slope
900	480	stream
920	0	low_plateau
920	20	slope
920	40	low_plateau
920	60	low_plateau
920	80	low_plateau
920	100	low_plateau
920	120	low_plateau
920	140	low_plateau
920	160	low_plateau
920	180	low_plateau
920	200	low_plateau
920	220	low_plateau
920	240	low_plateau
920	260	slope
920	280	slope
920	300	slope
920	320	slope
920	340	slope
920	360	low_plateau
920	380	low_plateau
920	400	low_plateau
920	420	slope
920	440	stream
920	460	low_plateau
920	480	stream
940	0	low_plateau
940	20	low_plateau
940	40	low_plateau
940	60	low_plateau
940	80	low_plateau
940	100	low_plateau
940	120	slope
940	140	slope
940	160	slope
940	180	low_plateau
940	200	low_plateau
940	220	low_plateau
940	240	low_plateau
940	260	low_plateau
940	280	low_plateau
940	300	low_plateau
940	320	slope
940	340	slope
940	360	slope
940	380	slope
940	400	low_plateau
940	420	low_plateau
940	440	stream
940	460	stream
940	480	stream
960	0	low_plateau
960	20	low_plateau
960	40	slope
960	60	low_plateau
960	80	low_plateau
960	100	slope
960	120	slope
960	140	low_plateau
960	160	low_plateau
960	180	low_plateau
960	200	low_plateau
960	220	low_plateau
960	240	low_plateau
960	260	low_plateau
960	280	low_plateau
960	300	low_plateau
960	320	low_plateau
960	340	low_plateau
960	360	low_plateau
960	380	slope
960	400	slope
960	420	slope
960	440	slope
960	460	stream
960	480	stream
980	0	low_plateau
980	20	low_plateau
980	40	low_plateau
980	60	low_plateau
980	80	low_plateau
980	100	low_plateau
980	120	low_plateau
980	140	low_plateau
980	160	low_plateau
980	180	slope
980	200	slope
980	220	slope
980	240	low_plateau
980	260	low_plateau
980	280	low_plateau
980	300	low_plateau
980	320	slope
980	340	slope
980	360	low_plateau
980	380	low_plateau
980	400	slope
980	420	slope
980	440	slope
980	460	stream
980	480	stream
